age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,education,employment_type,marital_status,has_mortgage,has_dependents,loan_purpose,has_cosigner,default_status
30,134117,60296,791,98,3,8.17,24,0.18,2,0,0,1,0,1,1,0
57,148002,42815,302,47,3,5.98,36,0.54,2,3,0,0,0,0,1,0
28,141308,180058,653,21,1,10.53,12,0.47,2,0,0,1,1,0,0,0
41,37355,18574,585,83,3,21.37,24,0.42,2,3,0,0,0,3,0,0
36,85448,129680,711,77,2,18.73,60,0.71,1,0,0,0,0,1,0,0
40,62087,23169,484,87,4,24.79,60,0.49,3,2,2,1,0,2,0,1
48,98039,21737,456,36,1,8.21,48,0.43,1,0,1,1,1,0,0,0
54,97235,234059,312,104,3,21.72,12,0.17,2,0,0,1,1,1,1,0
54,38442,152782,593,54,3,3.25,24,0.58,2,3,1,1,0,1,0,0
20,123707,160966,756,1,3,24.22,24,0.46,2,3,1,0,0,0,1,0
51,107800,14433,325,8,4,12.38,48,0.57,1,3,1,0,1,1,1,0
46,132669,52453,635,66,4,15.41,36,0.32,1,1,1,0,0,1,1,0
20,115287,40928,357,116,1,7.55,60,0.68,3,0,0,1,0,1,1,0
32,116546,68343,822,106,3,12.2,36,0.34,0,2,2,0,1,4,0,0
24,74362,193567,430,95,1,24.88,24,0.22,0,2,2,1,0,4,1,0
20,55669,212273,705,81,2,3.77,48,0.34,3,0,1,0,0,2,0,1
64,30888,175216,700,68,4,6.4,36,0.49,3,1,1,1,1,3,1,0
60,98803,151225,747,31,3,8.75,12,0.27,2,0,0,1,0,4,0,0
33,80101,156757,501,7,1,21.36,12,0.46,2,1,1,0,0,0,0,0
62,103998,126845,463,65,2,6.93,24,0.23,2,2,2,1,1,1,0,0
51,67237,158633,543,30,2,4.11,36,0.15,2,3,1,0,0,2,1,0
37,59261,169101,601,33,3,19.33,24,0.67,3,0,0,0,0,4,1,0
61,121919,127123,740,62,1,21.01,48,0.86,2,1,2,0,0,0,0,0
56,134523,16398,622,112,2,12.47,60,0.27,0,1,0,1,0,3,0,0
50,112812,107378,784,30,4,22.95,12,0.12,2,2,0,1,0,3,0,0
31,102486,191697,500,23,3,16.52,36,0.36,3,2,1,0,1,2,0,0
59,27174,227854,508,53,1,22.97,48,0.13,1,3,1,0,1,3,1,0
52,142912,224422,793,49,4,17.41,60,0.41,2,0,1,0,1,1,1,0
28,123355,224441,483,66,3,22.34,60,0.36,1,1,2,1,0,1,1,0
37,73206,55461,415,58,4,12.98,48,0.66,3,3,0,1,1,4,1,0
47,140775,156649,458,43,2,10.3,36,0.12,2,3,0,1,0,2,1,0
45,35013,96521,583,63,3,8.38,12,0.75,3,2,1,0,1,2,1,0
32,40616,174784,485,97,3,8.8,48,0.77,2,1,2,1,1,3,1,0
55,49146,238278,444,11,4,4.97,48,0.52,3,0,1,0,0,3,0,0
67,136870,110395,833,52,4,7.27,24,0.36,2,0,0,0,1,2,1,0
30,45051,131575,568,64,2,5.41,24,0.52,2,0,2,0,0,4,0,0
64,147519,94067,398,114,3,6.94,36,0.56,3,3,2,1,0,0,0,0
52,77402,122083,456,79,1,5.52,48,0.25,1,2,1,0,1,2,1,0
64,98130,59118,712,75,1,11.5,24,0.54,1,0,0,0,1,3,0,0
41,17463,91855,589,38,3,7.66,36,0.23,2,0,0,1,0,4,1,0
18,109781,182085,646,57,2,3.02,48,0.43,0,1,1,1,1,0,1,0
59,125895,135842,584,100,4,7.45,12,0.73,2,0,2,1,0,0,1,0
41,148783,14913,545,19,4,14.92,36,0.36,3,2,2,0,0,1,0,0
44,147594,247936,614,12,3,4.71,12,0.52,3,0,0,0,0,0,0,0
35,21783,111722,485,61,1,16.2,48,0.53,2,2,2,0,0,4,1,0
43,19747,212668,651,75,2,6.67,60,0.15,1,1,0,0,0,3,0,1
46,102949,53935,739,75,2,11.78,60,0.49,3,2,0,0,0,2,1,0
25,41640,112116,667,54,3,7.11,48,0.63,0,2,2,0,0,3,0,0
61,126887,78221,653,18,3,16.62,60,0.82,1,2,0,0,0,0,0,0
43,107362,153136,776,17,1,24.11,36,0.12,1,2,0,1,0,3,0,0
22,111673,173661,664,89,4,16.97,36,0.29,2,0,1,0,0,2,0,1
50,140060,45104,555,53,1,6.97,48,0.19,0,0,2,1,0,1,1,0
57,115838,35237,780,44,1,11.35,12,0.15,1,1,0,1,1,0,0,0
22,132875,207916,319,9,2,21.45,60,0.88,2,2,1,0,1,3,0,0
66,68532,147482,702,69,2,12.38,12,0.55,0,1,0,0,0,4,1,0
64,54645,210607,708,17,1,15.43,36,0.39,1,3,2,1,1,1,0,1
53,120520,160383,598,0,2,15.19,36,0.4,3,3,0,0,1,0,1,0
30,148408,192040,305,47,4,5.16,12,0.36,3,1,1,0,0,3,1,0
34,114601,95017,703,25,2,20.56,36,0.55,2,3,0,1,0,4,0,0
30,89523,99657,432,84,1,20.24,36,0.56,0,3,1,1,1,2,0,0
42,23898,76676,650,80,2,5.62,60,0.13,3,0,0,1,0,4,0,0
19,106279,249009,465,38,1,4.7,36,0.43,2,3,2,0,0,2,1,0
41,80062,195610,616,57,3,17.64,48,0.5,2,1,1,0,0,3,0,1
53,41806,130835,432,79,1,21.21,24,0.49,3,2,1,0,1,0,0,0
42,24100,56221,697,68,3,9.56,60,0.1,2,3,0,0,1,3,1,0
51,77902,185771,703,9,3,17.41,60,0.11,0,2,0,0,1,1,1,1
29,71368,116180,745,95,3,5.57,60,0.47,1,2,2,1,0,0,0,0
36,24457,241870,725,10,2,15.18,48,0.26,3,0,2,0,1,4,1,1
67,81512,45877,534,56,2,17.67,12,0.41,2,2,0,0,0,0,1,0
59,28119,113119,597,56,4,4.2,48,0.66,0,1,1,0,1,4,1,0
47,124646,74850,775,31,1,24.96,60,0.11,1,1,2,1,1,3,0,0
54,25276,66714,385,23,1,15.36,60,0.16,2,2,2,1,1,3,0,0
60,16865,18623,456,0,4,9.17,48,0.76,2,2,1,0,1,3,0,0
18,132386,183597,810,16,1,23.13,24,0.7,0,3,1,1,0,0,0,0
20,139370,21927,510,114,2,3.58,12,0.2,2,2,0,0,0,1,1,1
66,65225,91522,842,14,1,11.6,60,0.36,3,2,0,1,1,1,1,0
43,58809,223752,339,44,3,24.32,12,0.13,3,2,2,0,0,1,0,0
32,36050,84925,338,92,1,4.07,60,0.44,1,3,0,1,1,3,1,0
63,98859,85097,739,116,3,2.61,60,0.67,1,3,1,1,1,2,1,0
64,57671,232934,408,41,1,23.99,12,0.37,0,1,2,1,0,3,0,0
65,127849,195046,373,106,3,21.1,24,0.19,0,3,2,1,0,4,0,1
45,95146,223849,671,14,2,14.11,48,0.41,2,0,2,0,1,3,0,0
21,83065,129645,732,98,2,15.79,48,0.69,2,2,1,0,1,3,0,0
36,146199,156575,674,69,4,15.81,36,0.4,0,2,0,0,0,2,0,0
41,33938,69168,448,10,3,21.05,24,0.56,3,0,0,1,1,4,1,0
57,30329,78295,720,20,1,10.14,36,0.63,1,1,0,0,0,2,1,0
23,104489,23729,631,114,1,7.59,36,0.63,2,0,0,1,0,1,0,0
33,22102,135779,619,7,4,7.18,12,0.63,1,2,0,0,1,4,1,0
49,54969,189207,686,52,3,10.75,12,0.63,3,0,2,1,1,4,1,1
47,122118,91304,814,42,2,22.73,60,0.29,0,2,2,1,1,3,1,0
52,132993,127504,839,71,4,5.01,48,0.52,0,1,2,0,1,2,0,1
25,129727,222276,479,30,2,17.76,24,0.58,1,1,2,0,1,2,1,0
22,23873,234945,304,8,1,4.2,24,0.48,1,1,1,0,1,1,1,0
54,52802,199762,775,37,3,22.78,12,0.31,0,0,1,1,1,1,1,0
29,44548,105753,316,19,1,3.07,24,0.34,1,0,0,0,1,4,0,0
42,48723,162383,367,12,2,15.79,24,0.89,2,3,1,1,0,2,1,0
50,26585,16668,722,11,4,7.89,36,0.35,0,1,0,1,0,3,1,0
56,50817,109718,621,79,4,12.18,12,0.16,1,0,1,1,0,2,0,0
41,143593,29893,361,28,4,17.48,36,0.64,0,3,2,1,0,1,1,0
28,96755,121515,306,74,2,20.85,48,0.53,2,3,1,1,0,3,1,0
59,15554,86056,323,38,2,17.88,36,0.31,0,3,0,0,0,1,0,0
52,59147,192232,613,83,4,12.48,48,0.55,2,1,0,1,0,4,1,0
57,149035,179371,766,79,1,24.96,36,0.33,1,3,2,0,1,4,0,0
18,18232,245477,469,4,1,22.21,24,0.65,0,3,0,0,1,1,1,1
25,130353,240864,760,76,3,7.4,36,0.6,3,1,2,1,0,4,1,0
40,33606,138237,647,36,1,15.03,12,0.53,1,1,0,0,1,3,1,0
37,135744,58499,838,53,4,14.65,36,0.86,1,3,2,1,1,2,0,1
49,88055,100818,448,118,2,20.11,60,0.17,1,0,0,0,1,3,1,0
28,27608,166982,547,80,3,13.29,48,0.79,0,1,1,0,0,4,0,0
24,110537,175214,395,95,3,10.12,12,0.55,0,3,0,0,0,4,1,0
47,77200,217681,300,2,2,5.96,12,0.68,3,2,2,1,1,3,0,0
65,97881,192027,499,109,1,9.17,24,0.2,0,2,2,1,0,1,0,0
56,42554,247608,493,50,3,20.01,12,0.35,3,1,1,1,0,2,1,0
30,51067,206249,788,114,1,23.8,60,0.17,3,3,1,1,1,2,1,0
59,58775,56745,511,37,1,4.17,24,0.42,1,1,0,1,1,1,1,0
66,149401,239014,780,117,4,6.44,60,0.37,0,0,2,0,0,1,0,0
20,107330,91673,399,98,4,10.44,60,0.86,1,0,2,1,1,0,0,1
24,140538,30102,752,82,3,16.59,36,0.49,3,0,2,1,1,1,0,0
60,53301,7288,525,84,2,8.02,36,0.47,0,2,1,1,1,0,1,0
30,86793,239114,532,85,2,7.66,12,0.83,0,2,1,0,0,2,1,0
54,50702,183015,820,36,4,21.44,12,0.3,2,0,1,1,1,4,0,0
42,15516,165112,437,66,1,15.18,24,0.86,0,0,1,1,1,3,1,0
40,127635,172037,788,16,1,9.2,12,0.64,3,0,0,1,1,4,1,0
68,39518,157591,571,75,1,22.21,36,0.41,2,0,2,1,1,3,0,0
64,93789,160809,811,3,4,2.42,36,0.19,0,1,0,1,1,1,1,0
50,17342,149410,605,96,4,20.22,24,0.36,3,3,0,1,0,1,1,0
22,56689,44209,762,54,1,24.37,24,0.43,2,2,2,1,0,1,0,0
49,125646,160259,838,105,3,3.36,24,0.79,1,2,1,0,1,2,1,0
47,93551,111363,767,74,4,22.64,48,0.68,3,2,0,0,0,2,1,1
48,33367,228779,478,52,4,23.72,48,0.68,1,3,2,0,0,1,0,0
30,45743,212191,822,29,4,5.34,12,0.41,2,1,0,1,0,3,0,0
59,19545,130539,374,73,2,12.04,12,0.8,1,3,1,1,1,2,0,0
22,18778,36310,735,109,4,23.36,48,0.33,0,3,0,0,0,2,1,0
40,38745,84742,615,76,2,8.57,48,0.75,3,1,2,1,0,1,0,1
18,84791,187596,679,97,2,2.61,24,0.5,2,1,0,0,0,1,1,0
27,103114,91124,722,33,3,5.03,24,0.64,0,2,2,1,0,3,1,0
67,92884,38621,394,58,2,9.89,48,0.82,3,3,2,0,0,0,0,0
44,35470,204259,499,10,2,7.99,36,0.61,3,0,1,1,1,0,0,0
25,60794,89888,767,55,1,16.26,24,0.45,3,0,2,0,1,0,1,0
69,134692,79447,569,8,3,18.22,12,0.87,0,3,2,0,1,0,1,0
20,87488,15033,727,81,4,4.7,12,0.13,2,0,1,0,1,2,0,1
36,68970,129868,781,24,3,7.07,36,0.76,3,3,2,0,0,4,1,0
68,21340,215668,497,105,2,9.39,36,0.69,0,3,2,1,0,1,1,1
19,85781,193122,610,25,3,10.3,60,0.45,1,0,0,0,0,1,1,1
66,126789,55804,386,13,4,20.57,60,0.59,1,0,1,0,0,1,1,0
48,21116,72528,506,16,2,20.79,36,0.37,1,0,1,1,1,1,1,0
65,126636,165026,652,27,4,20.82,60,0.13,2,3,1,0,1,2,0,0
27,71257,36523,482,21,4,14.99,48,0.31,0,0,0,1,0,2,1,0
33,132243,214951,334,87,2,21.92,60,0.34,3,0,0,1,0,2,1,0
54,71025,18292,400,38,3,21.75,24,0.37,1,3,1,0,0,1,1,0
37,30104,228096,810,64,1,3.63,48,0.52,2,1,0,0,1,4,0,0
20,109490,169852,338,47,3,3.02,24,0.6,0,3,0,0,1,4,1,0
52,71699,163775,826,84,4,22.45,60,0.26,3,1,1,0,1,2,1,0
51,139535,25359,748,74,3,21.21,48,0.15,2,3,1,1,0,4,0,0
38,89954,97190,435,107,2,11.02,60,0.65,2,3,0,1,1,0,0,0
53,138322,209803,316,4,3,16.51,48,0.55,0,2,0,0,1,4,0,0
49,85057,157139,814,23,3,23.47,24,0.77,2,1,2,1,0,3,0,0
35,19906,209333,604,58,4,24.51,60,0.28,0,3,0,1,1,0,0,1
51,65021,244845,711,31,1,15.42,60,0.15,0,1,2,0,1,0,0,0
55,67897,161652,671,13,4,19.26,60,0.15,1,2,0,0,0,2,1,1
20,120316,100247,681,102,3,6.68,36,0.78,1,0,0,1,1,4,1,0
20,36900,9080,652,95,3,7.6,36,0.69,0,1,2,0,1,4,0,0
44,106253,211827,304,47,3,15.58,60,0.29,3,3,2,0,0,4,0,0
19,147643,8917,365,27,1,23.18,60,0.12,3,0,1,1,0,2,0,0
20,19156,78372,577,48,4,15.31,48,0.72,1,2,1,1,1,4,1,1
34,84814,123836,816,112,4,18.41,48,0.21,3,3,2,0,0,2,0,0
63,80702,190212,587,39,4,12.22,60,0.49,0,1,1,1,0,2,1,0
56,133395,191555,847,87,2,22.72,36,0.32,0,2,1,1,1,4,1,0
55,139458,170848,658,68,3,23.06,24,0.39,1,3,0,0,0,4,0,0
57,102144,134175,427,66,3,24.69,24,0.41,0,0,0,0,1,0,1,0
36,75405,232417,396,99,3,12.29,48,0.19,2,2,0,1,1,2,0,0
36,19744,22234,813,21,4,11.97,48,0.18,3,2,1,1,1,1,1,0
61,130490,167167,481,10,3,20.93,24,0.45,0,1,1,1,0,1,1,0
22,56833,235017,483,22,3,17.34,48,0.26,1,1,2,0,1,2,0,1
22,48147,99368,524,15,3,3.1,60,0.83,1,0,1,0,1,3,1,0
31,21869,192840,631,69,4,2.47,24,0.44,2,1,0,1,1,2,1,1
44,68884,40552,408,0,4,21.12,12,0.59,0,3,1,1,0,4,1,0
66,148340,14687,375,109,3,13.15,24,0.51,0,3,0,0,1,3,1,0
65,17987,19424,700,117,1,17.47,60,0.52,2,1,1,1,0,1,1,0
53,54699,23239,699,56,2,23.23,24,0.43,3,1,2,0,1,2,0,0
57,147162,94899,341,35,1,22.4,12,0.35,0,0,2,1,1,0,1,0
52,51407,112563,652,26,4,2.95,60,0.27,1,1,1,1,0,2,1,0
38,19791,65593,792,46,3,18.92,60,0.17,2,2,2,1,1,0,0,0
22,43000,208859,362,1,1,17.84,24,0.26,3,2,0,0,1,1,1,0
41,80010,121654,568,54,4,24.41,48,0.27,2,1,2,0,1,4,1,0
56,23464,229699,307,20,1,20.28,12,0.24,0,0,2,1,0,4,0,1
67,72775,167134,580,82,4,2.67,24,0.88,1,2,2,0,0,0,0,0
41,35503,24510,601,57,2,23.87,12,0.8,2,2,2,0,0,1,0,0
57,76649,174629,532,39,1,6.2,24,0.8,2,0,0,0,1,0,1,0
60,26346,198710,615,45,3,20.6,60,0.19,0,3,2,1,0,4,1,0
63,16257,204459,780,32,2,20.52,36,0.35,0,3,2,1,0,1,1,0
67,49938,138694,791,1,4,8.59,12,0.89,0,2,1,1,0,3,0,0
30,102262,187491,839,72,3,6.82,36,0.37,1,3,1,1,1,0,0,0
55,99717,93366,824,114,4,14.96,12,0.74,3,1,2,1,1,0,0,0
62,118859,199553,479,100,2,4.43,24,0.61,1,1,1,1,0,2,0,0
18,23720,223779,444,52,1,23.81,48,0.75,2,2,0,0,0,3,0,0
60,143107,79762,834,94,1,2.89,24,0.62,0,0,1,1,0,0,0,0
56,124489,216835,537,11,3,4.86,60,0.51,0,0,2,0,0,2,1,0
27,134152,80370,627,110,4,23.43,24,0.52,0,2,1,0,1,3,0,0
19,138761,46191,779,85,1,4.98,60,0.78,3,2,2,1,0,2,1,0
33,56745,114281,574,95,4,17.64,60,0.53,0,0,1,1,0,2,1,1
54,101228,28647,556,92,1,19.84,24,0.19,0,1,1,1,0,1,1,0
33,100117,197653,832,106,4,10.47,60,0.69,1,1,0,1,0,0,1,0
40,123889,32221,530,43,2,10.22,24,0.38,2,2,0,1,0,3,0,0
43,51442,90918,692,76,4,18.7,36,0.27,2,0,2,0,0,2,1,0
33,60780,91265,824,113,3,22.06,24,0.24,1,0,0,0,1,2,0,0
44,124411,156815,368,91,2,21.96,36,0.25,3,1,0,1,1,2,1,0
64,57767,158549,621,110,2,22.61,12,0.13,1,1,0,1,1,0,1,0
58,126818,221986,784,82,3,3.05,12,0.41,1,3,2,1,0,1,1,0
47,89410,9489,576,21,1,13.48,12,0.84,2,0,1,1,0,3,0,0
50,43395,53786,394,41,4,9.21,60,0.47,1,1,1,0,0,3,1,0
49,96344,98885,695,117,1,23.03,60,0.82,2,2,2,1,0,4,0,0
26,34969,14634,402,73,3,22.03,60,0.37,2,1,2,0,1,1,1,0
28,44165,168790,425,63,2,21.3,24,0.64,3,0,1,0,0,4,1,1
54,91986,31043,657,65,2,13.04,48,0.25,0,3,0,1,0,1,1,0
23,82398,17646,556,118,2,14.72,48,0.75,2,3,0,0,1,2,0,0
47,18765,184909,516,70,1,8.03,24,0.86,0,1,1,1,1,3,1,0
57,114687,245330,343,39,3,21.64,60,0.23,2,3,0,1,1,4,1,0
32,66480,113077,339,57,1,24.79,36,0.67,3,0,2,1,0,4,0,0
65,108936,62699,383,9,3,5.96,48,0.7,3,1,2,1,0,0,0,0
47,103579,157934,318,50,3,16.99,36,0.12,1,2,0,0,0,0,1,0
35,112655,244559,673,4,2,7.19,48,0.13,3,0,0,1,1,2,0,0
29,99940,108619,546,118,2,23.77,24,0.47,0,1,0,1,1,1,1,0
21,121141,216092,394,69,2,20.74,24,0.35,2,1,1,1,1,3,1,0
33,126136,147830,465,118,1,24.69,36,0.5,3,3,1,0,1,0,0,0
40,24993,126269,656,114,4,14.57,48,0.24,3,0,2,0,1,0,0,1
28,37560,160753,819,87,4,10.92,60,0.62,2,1,2,1,1,2,0,0
41,44133,30183,691,57,4,18.31,60,0.58,2,1,0,0,0,1,1,0
39,41580,168635,638,29,3,21.68,60,0.27,3,2,0,0,1,2,1,0
56,64868,130844,739,107,4,9.7,24,0.36,0,0,0,0,0,0,1,0
32,113212,206631,654,77,1,11.97,48,0.32,3,3,2,1,1,2,1,1
66,79076,169814,662,105,1,14.37,12,0.74,1,2,2,1,0,3,1,0
32,75913,216328,739,114,3,7.33,24,0.77,1,3,1,0,0,1,0,0
27,50353,14066,747,68,1,4.5,60,0.68,1,1,0,1,1,0,0,0
45,108496,35713,387,94,2,3.87,12,0.47,3,0,2,0,1,3,1,0
53,114088,97468,337,110,2,22.98,48,0.26,2,1,2,1,0,2,1,0
34,66480,246156,599,52,2,15.87,60,0.87,1,0,1,0,0,1,0,0
53,147137,217307,848,63,4,11.45,60,0.68,0,2,1,0,1,2,0,0
39,66197,16667,340,29,4,8.97,24,0.53,3,3,2,0,0,3,0,0
40,18976,132200,462,119,1,3.62,24,0.86,0,0,1,1,0,1,0,0
46,98657,215176,371,9,3,15.45,36,0.7,3,3,2,1,0,3,1,0
39,132180,162439,356,92,3,15.65,24,0.52,1,0,1,1,1,3,1,0
28,37551,27408,315,37,3,24.39,48,0.79,3,0,2,1,1,0,1,0
53,143451,146054,476,12,3,17.08,36,0.42,3,3,1,0,0,4,0,0
61,113811,188234,474,83,2,5.44,12,0.49,2,3,1,1,0,2,0,0
46,89099,101811,566,112,2,5.18,12,0.27,1,2,1,0,1,4,0,0
59,89318,67009,527,77,2,12.2,60,0.79,1,1,0,0,0,1,0,0
49,86901,94008,462,14,4,7.2,24,0.39,1,0,2,0,0,0,0,0
31,94488,153818,461,83,1,4.49,48,0.25,3,0,2,0,0,2,0,0
35,124124,187808,675,58,2,7.87,36,0.69,2,2,0,1,1,2,0,0
55,91241,235296,761,51,3,10.25,60,0.31,2,2,0,1,1,2,1,0
54,130926,52171,581,101,1,13.34,60,0.3,1,2,1,0,1,4,0,0
51,27788,171355,582,15,3,6.6,60,0.84,1,2,1,1,1,3,1,0
62,80415,214366,402,20,2,8.69,24,0.6,0,0,2,0,1,3,0,0
40,90830,212517,811,50,3,18.4,36,0.57,1,1,0,0,0,1,1,1
49,142460,60247,455,6,1,9.9,60,0.32,0,3,0,0,1,0,0,0
63,80763,39912,691,98,2,9.25,48,0.36,2,1,1,1,1,3,0,0
20,60337,11532,332,13,1,20.68,60,0.47,3,3,0,1,1,0,0,0
60,59495,74840,343,29,2,18.6,60,0.28,2,0,0,0,0,3,1,0
39,39995,186005,769,96,1,21.67,24,0.11,2,0,0,0,1,3,0,0
40,138808,244387,387,115,2,4.77,24,0.31,1,0,1,1,0,4,1,0
21,45905,11290,849,116,1,11.55,12,0.69,2,2,2,1,0,1,0,0
30,132631,38912,637,64,3,14.58,12,0.52,0,0,0,1,0,2,0,0
49,71993,234088,734,92,4,19.44,24,0.61,0,2,0,0,1,4,0,1
46,70080,86339,682,58,3,14.18,48,0.81,3,1,2,0,1,3,1,0
57,47270,201598,804,65,2,12.57,24,0.84,2,1,0,0,0,2,1,0
57,145112,101477,311,28,3,9.38,48,0.88,0,2,2,0,1,2,1,0
62,83679,58244,330,41,1,15.2,48,0.22,2,2,0,1,0,0,0,0
27,123258,203282,441,108,3,24.5,48,0.87,3,2,2,1,0,4,0,0
30,20177,24643,623,76,2,6.3,24,0.84,2,2,2,1,1,2,1,0
62,94160,98505,461,67,3,19.64,48,0.53,2,0,2,0,0,0,0,1
34,121269,31637,466,86,4,19.55,24,0.82,3,1,1,1,0,2,0,0
55,147397,59606,481,14,3,22.03,12,0.41,2,2,0,1,0,2,0,0
19,16176,143486,797,95,2,17.28,60,0.85,1,3,2,0,1,3,0,1
34,105094,111529,513,45,4,13.41,12,0.57,3,2,0,1,1,2,1,0
61,61932,201213,739,87,3,9.84,24,0.89,0,2,0,0,1,0,1,0
43,96633,157759,576,81,2,5.77,12,0.64,0,2,0,1,1,4,1,0
55,50021,68268,736,88,3,14.7,12,0.89,1,1,0,1,0,4,0,0
54,53624,158910,682,90,4,7.3,24,0.75,3,3,2,1,1,4,0,0
22,60005,166941,558,48,2,6.58,24,0.22,0,1,0,1,0,2,0,0
42,95418,234906,698,81,2,20.18,48,0.3,2,1,1,0,0,4,0,0
26,36816,154108,548,38,2,7.24,36,0.52,3,1,2,0,1,0,1,0
45,66638,179402,583,114,4,10.03,24,0.67,3,2,2,1,1,1,0,0
39,80732,177756,817,15,4,17.34,48,0.73,0,3,0,0,0,0,0,1
46,68436,69066,630,64,2,11.11,48,0.79,0,3,1,0,0,2,0,0
52,137176,44675,427,43,4,22.06,60,0.7,1,1,1,0,0,1,0,0
37,104477,133005,440,14,3,9.6,60,0.61,1,3,0,0,1,4,0,0
22,63942,227426,632,104,3,6.68,24,0.73,0,2,0,0,0,1,1,0
56,88501,19343,377,43,3,10.17,60,0.81,1,1,0,0,0,4,0,0
61,147327,175689,530,46,2,16.2,36,0.78,3,2,0,0,1,2,1,0
49,148658,8161,328,108,3,21.52,12,0.39,2,0,2,1,0,0,0,0
56,75938,28117,719,79,3,17.2,24,0.33,2,3,1,0,0,4,1,0
27,138537,29417,806,106,4,24.85,60,0.75,0,0,2,0,0,0,0,0
57,55862,87028,437,58,1,23.51,48,0.32,0,0,1,0,1,2,1,0
34,68795,179914,543,112,1,12.83,24,0.54,0,0,0,1,0,2,1,0
54,41089,21604,333,59,1,19.21,24,0.55,3,1,0,0,1,4,0,0
32,145838,50352,786,68,1,24.43,48,0.59,1,2,1,1,0,2,1,0
26,136798,108217,456,78,4,23.77,60,0.11,0,2,1,0,1,1,0,0
49,77387,133104,478,3,2,18.1,36,0.68,0,2,2,1,0,2,1,0
40,55383,29311,700,22,1,19.48,60,0.53,3,1,1,0,0,0,1,0
28,38658,114394,679,113,2,17.22,12,0.82,3,3,1,1,0,1,1,0
30,52861,238606,510,57,4,20.13,60,0.44,1,0,0,0,1,4,1,0
35,98751,70232,684,88,4,21.26,24,0.8,2,1,2,0,0,4,1,0
66,108052,224877,830,27,3,10.45,12,0.42,2,2,1,0,1,4,0,1
26,104567,237778,584,96,4,5.74,12,0.53,2,0,0,1,0,4,0,0
59,19394,103420,595,91,2,19.77,36,0.63,0,0,2,0,0,2,1,0
22,86251,182886,337,50,4,2.16,48,0.62,3,2,1,1,1,0,0,0
60,130457,10712,688,86,1,7.82,60,0.26,0,0,0,0,1,1,0,0
39,105952,63443,774,110,3,4.04,12,0.27,1,0,0,1,1,3,1,0
49,35194,197657,733,116,4,17.94,36,0.67,3,2,0,0,0,3,0,0
64,64587,70550,444,35,4,8.64,48,0.38,1,0,2,0,1,2,0,0
19,49829,18038,362,40,1,18.04,36,0.66,2,3,1,0,0,0,1,0
38,97715,106223,626,118,1,20.68,60,0.82,0,3,0,1,1,4,0,0
45,102021,109568,601,31,3,9.22,60,0.73,1,0,0,1,1,3,0,0
69,39466,91150,469,110,3,16.02,24,0.56,3,0,1,0,1,4,0,0
41,82317,157045,413,111,1,12.26,36,0.33,2,2,0,1,0,2,0,0
41,58213,24536,460,88,1,9.18,60,0.38,0,3,2,0,0,4,0,0
31,22341,93726,373,107,3,6.94,36,0.18,3,1,2,0,0,2,1,0
54,91752,158868,327,49,1,15.78,48,0.36,2,2,2,0,0,4,1,0
44,82747,29340,444,116,4,13.22,12,0.81,1,2,2,1,0,3,0,0
41,125236,152281,533,54,3,10.05,12,0.77,2,1,0,0,1,2,1,0
23,61185,189145,826,14,1,18.26,36,0.64,2,0,1,1,0,1,1,0
43,45199,85188,627,79,2,2.14,24,0.51,0,3,1,0,0,1,1,0
32,70249,142243,663,85,3,13.52,24,0.48,3,0,1,0,0,2,0,0
46,22237,73013,736,100,2,15.93,60,0.88,3,0,0,1,1,4,0,0
53,145430,193221,630,15,2,4.54,24,0.35,0,2,2,1,1,0,1,0
27,25540,83535,781,59,4,15.69,48,0.49,2,0,2,1,1,2,1,0
45,98154,185991,404,101,2,8.99,60,0.82,1,0,0,0,1,0,1,0
68,70658,76196,493,13,1,24.72,24,0.41,2,0,0,0,1,1,1,0
26,139021,174671,390,80,3,9.75,48,0.82,3,3,0,1,1,0,0,0
38,138655,12101,802,33,3,16.7,48,0.29,3,0,1,1,1,2,0,0
27,41126,161737,493,65,1,11.61,60,0.88,0,0,0,0,1,2,0,0
21,73178,83114,419,17,3,20.74,36,0.39,0,0,1,1,0,2,1,0
21,86881,196137,509,89,3,15.42,48,0.38,1,3,0,0,0,0,1,0
23,147165,18412,745,18,3,4.97,36,0.18,1,0,2,0,1,2,0,0
43,76916,214342,619,82,3,7.76,60,0.43,2,2,2,0,1,0,1,0
57,55302,127342,810,71,1,15.13,60,0.69,3,3,0,0,1,2,0,0
33,43623,223336,393,52,4,12.27,48,0.29,2,1,1,0,1,0,0,1
25,133515,192012,518,89,4,6.43,48,0.83,0,1,0,1,1,3,1,0
45,125666,147127,622,98,3,24.8,24,0.17,1,0,2,1,0,3,1,0
33,49616,247551,788,82,4,6.29,12,0.69,1,1,2,0,0,2,1,0
55,90973,172387,454,34,4,8.91,24,0.72,3,1,2,1,1,3,0,0
66,106288,37881,406,108,1,10.47,48,0.64,1,2,1,1,1,1,1,0
18,143232,134699,430,48,3,11.58,60,0.84,0,2,1,0,1,2,0,0
36,59544,97056,649,57,2,23.12,36,0.89,0,2,0,0,0,4,1,0
67,117092,10764,330,88,4,8.83,60,0.72,2,2,0,0,1,0,1,0
34,144541,193309,498,72,4,20.91,12,0.6,2,2,0,0,1,2,1,0
